Gm21293.1	3.74E-47	-2.773297981	0.693	0.965	6.92E-43	2c-out	Gm21293
Gm21761.1	9.43E-45	-1.900341929	0.791	0.956	1.74E-40	2c-out	Gm21761
Gm8994.1	1.37E-44	-2.227442199	0.718	0.929	2.53E-40	2c-out	Gm8994
Gm21818.1	6.38E-40	-2.286992634	0.638	0.916	1.18E-35	2c-out	Gm21818
Gm4027.1	7.83E-39	-1.861680803	0.822	0.965	1.45E-34	2c-out	Gm4027
Gm5039.1	1.43E-37	-1.730371185	0.687	0.938	2.64E-33	2c-out	Gm5039
Gm20767.1	2.95E-37	-1.672972677	0.736	0.92	5.46E-33	2c-out	Gm20767
Gm5662.1	1.71E-33	-1.440355154	0.853	0.951	3.16E-29	2c-out	Gm5662
Gm8300.1	2.36E-33	-1.424266892	0.847	0.947	4.36E-29	2c-out	Gm8300
Gm8332.1	2.92E-33	-2.106978299	0.534	0.854	5.40E-29	2c-out	Gm8332
Dhtkd1.1	5.90E-33	-1.904476241	0.35	0.805	1.09E-28	2c-out	Dhtkd1
Gm47924.1	4.37E-31	-1.901431019	0.828	0.903	8.08E-27	2c-out	Gm47924
Nelfa.1	1.89E-30	-1.600822309	0.644	0.863	3.50E-26	2c-out	Nelfa
B020031M17Rik.1	4.43E-28	-2.11751107	0.196	0.686	8.19E-24	2c-out	B020031M17Rik
Gm48388.1	9.13E-28	-1.608177985	0.209	0.695	1.69E-23	2c-out	Gm48388
Gm1995.1	2.95E-26	-1.431620516	0.074	0.588	5.44E-22	2c-out	Gm1995
Gm4340.1	1.80E-24	-2.317212911	0.589	0.841	3.34E-20	2c-out	Gm4340
Zscan4d.1	6.45E-22	-1.458058067	0.552	0.814	1.19E-17	2c-out	Zscan4d
Gm13228.1	2.10E-21	-1.463534936	0.429	0.73	3.88E-17	2c-out	Gm13228
Gm6502.1	3.21E-21	-1.460089892	0.276	0.695	5.94E-17	2c-out	Gm6502
Gm16429.1	4.32E-21	-1.316989967	0.337	0.704	7.99E-17	2c-out	Gm16429
Zscan4a.1	1.26E-20	-1.506656579	0.564	0.792	2.34E-16	2c-out	Zscan4a
Scamp1.1	1.63E-20	-1.448716906	0.393	0.704	3.01E-16	2c-out	Scamp1
Ccser1.1	5.48E-20	-1.31469135	0.319	0.681	1.01E-15	2c-out	Ccser1
AF067061.1	7.08E-20	-1.680465972	0.049	0.469	1.31E-15	2c-out	AF067061
Zfp560.1	1.06E-19	-1.327056129	0.644	0.779	1.95E-15	2c-out	Zfp560
C1d.1	1.24E-19	-1.256496717	0.724	0.832	2.28E-15	2c-out	C1d
Gm16368.1	2.51E-19	-1.284362041	0.301	0.677	4.64E-15	2c-out	Gm16368
Gm6494.1	3.50E-19	-2.084778294	0.294	0.642	6.47E-15	2c-out	Gm6494
Tcstv3.1	1.40E-18	-1.53130267	0.074	0.478	2.58E-14	2c-out	Tcstv3
Gm13698.1	1.41E-18	-1.07940095	0.135	0.54	2.61E-14	2c-out	Gm13698
Gm13695.1	1.51E-17	-0.990334307	0.129	0.518	2.79E-13	2c-out	Gm13695
Gm18983.1	2.13E-17	-1.262908116	0.276	0.637	3.94E-13	2c-out	Gm18983
AC140365.1.1	2.53E-17	-0.69193356	0.074	0.456	4.67E-13	2c-out	AC140365.1
Zscan4-ps2.1	4.76E-17	-1.236830963	0.798	0.858	8.79E-13	2c-out	Zscan4-ps2
Ppig.1	4.96E-17	-0.890841933	0.896	0.863	9.17E-13	2c-out	Ppig
Gm10424.1	6.40E-17	-0.977374393	0.325	0.646	1.18E-12	2c-out	Gm10424
Zscan4c.1	7.79E-17	-1.289535946	0.73	0.832	1.44E-12	2c-out	Zscan4c
BC147527.1	1.80E-16	-1.176241611	0.025	0.376	3.33E-12	2c-out	BC147527
Gm38699.1	2.99E-16	-1.050832144	0.067	0.429	5.53E-12	2c-out	Gm38699
Gm3147.1	3.30E-16	-0.928157647	0.325	0.642	6.09E-12	2c-out	Gm3147
Gm2022.1	3.71E-16	-1.051602068	0.245	0.588	6.86E-12	2c-out	Gm2022
Sdhaf3.1	5.23E-16	-1.155645444	0.564	0.712	9.66E-12	2c-out	Sdhaf3
Gm7942.1	5.66E-16	-0.583642572	0.074	0.434	1.05E-11	2c-out	Gm7942
AC123873.1.1	1.04E-15	-0.578477224	0.074	0.429	1.92E-11	2c-out	AC123873.1
Gm4305.1	1.80E-15	-0.733563359	0.037	0.381	3.33E-11	2c-out	Gm4305
