"","x"
"1","GLI1_UP.V1_DN"
"2","GLI1_UP.V1_UP"
"3","E2F1_UP.V1_DN"
"4","E2F1_UP.V1_UP"
"5","EGFR_UP.V1_DN"
"6","EGFR_UP.V1_UP"
"7","ERB2_UP.V1_DN"
"8","ERB2_UP.V1_UP"
"9","GCNP_SHH_UP_EARLY.V1_DN"
"10","GCNP_SHH_UP_EARLY.V1_UP"
"11","GCNP_SHH_UP_LATE.V1_DN"
"12","GCNP_SHH_UP_LATE.V1_UP"
"13","RAPA_EARLY_UP.V1_DN"
"14","RAPA_EARLY_UP.V1_UP"
"15","HINATA_NFKB_IMMU_INF"
"16","HINATA_NFKB_MATRIX"
"17","CYCLIN_D1_KE_.V1_DN"
"18","CYCLIN_D1_KE_.V1_UP"
"19","CYCLIN_D1_UP.V1_DN"
"20","CYCLIN_D1_UP.V1_UP"
"21","CSR_EARLY_UP.V1_DN"
"22","CSR_EARLY_UP.V1_UP"
"23","CSR_LATE_UP.V1_DN"
"24","CSR_LATE_UP.V1_UP"
"25","AKT_UP_MTOR_DN.V1_DN"
"26","AKT_UP_MTOR_DN.V1_UP"
"27","AKT_UP.V1_DN"
"28","AKT_UP.V1_UP"
"29","MTOR_UP.V1_DN"
"30","MTOR_UP.V1_UP"
"31","PIGF_UP.V1_DN"
"32","PIGF_UP.V1_UP"
"33","VEGF_A_UP.V1_DN"
"34","VEGF_A_UP.V1_UP"
"35","BCAT_GDS748_DN"
"36","BCAT_GDS748_UP"
"37","BCAT.100_UP.V1_DN"
"38","BCAT.100_UP.V1_UP"
"39","ATF2_S_UP.V1_DN"
"40","ATF2_S_UP.V1_UP"
"41","ATF2_UP.V1_DN"
"42","ATF2_UP.V1_UP"
"43","WNT_UP.V1_DN"
"44","WNT_UP.V1_UP"
"45","ATM_DN.V1_DN"
"46","ATM_DN.V1_UP"
"47","P53_DN.V2_DN"
"48","P53_DN.V2_UP"
"49","RELA_DN.V1_DN"
"50","RELA_DN.V1_UP"
"51","P53_DN.V1_DN"
"52","P53_DN.V1_UP"
"53","BCAT_BILD_ET_AL_DN"
"54","BCAT_BILD_ET_AL_UP"
"55","E2F3_UP.V1_DN"
"56","E2F3_UP.V1_UP"
"57","MYC_UP.V1_DN"
"58","MYC_UP.V1_UP"
"59","SRC_UP.V1_DN"
"60","SRC_UP.V1_UP"
"61","SNF5_DN.V1_DN"
"62","SNF5_DN.V1_UP"
"63","CAMP_UP.V1_DN"
"64","CAMP_UP.V1_UP"
"65","LTE2_UP.V1_DN"
"66","LTE2_UP.V1_UP"
"67","MEK_UP.V1_DN"
"68","MEK_UP.V1_UP"
"69","RAF_UP.V1_DN"
"70","RAF_UP.V1_UP"
"71","PRC1_BMI_UP.V1_DN"
"72","PRC1_BMI_UP.V1_UP"
"73","PRC2_EED_UP.V1_DN"
"74","PRC2_EED_UP.V1_UP"
"75","PRC2_EZH2_UP.V1_DN"
"76","PRC2_EZH2_UP.V1_UP"
"77","PRC2_SUZ12_UP.V1_DN"
"78","PRC2_SUZ12_UP.V1_UP"
"79","JNK_DN.V1_DN"
"80","JNK_DN.V1_UP"
"81","BRCA1_DN.V1_DN"
"82","BRCA1_DN.V1_UP"
"83","CTIP_DN.V1_DN"
"84","CTIP_DN.V1_UP"
"85","PKCA_DN.V1_DN"
"86","PKCA_DN.V1_UP"
"87","MTOR_UP.N4.V1_DN"
"88","MTOR_UP.N4.V1_UP"
"89","PTEN_DN.V2_DN"
"90","PTEN_DN.V2_UP"
"91","DCA_UP.V1_DN"
"92","DCA_UP.V1_UP"
"93","ESC_J1_UP_EARLY.V1_DN"
"94","ESC_J1_UP_EARLY.V1_UP"
"95","ESC_J1_UP_LATE.V1_DN"
"96","ESC_J1_UP_LATE.V1_UP"
"97","ESC_V6.5_UP_EARLY.V1_DN"
"98","ESC_V6.5_UP_EARLY.V1_UP"
"99","ESC_V6.5_UP_LATE.V1_DN"
"100","ESC_V6.5_UP_LATE.V1_UP"
"101","ALK_DN.V1_DN"
"102","ALK_DN.V1_UP"
"103","BMI1_DN_MEL18_DN.V1_DN"
"104","BMI1_DN_MEL18_DN.V1_UP"
"105","BMI1_DN.V1_DN"
"106","BMI1_DN.V1_UP"
"107","MEL18_DN.V1_DN"
"108","MEL18_DN.V1_UP"
"109","PTEN_DN.V1_DN"
"110","PTEN_DN.V1_UP"
"111","NOTCH_DN.V1_DN"
"112","NOTCH_DN.V1_UP"
"113","EIF4E_DN"
"114","EIF4E_UP"
"115","CRX_DN.V1_DN"
"116","CRX_DN.V1_UP"
"117","CRX_NRL_DN.V1_DN"
"118","CRX_NRL_DN.V1_UP"
"119","NRL_DN.V1_DN"
"120","NRL_DN.V1_UP"
"121","RB_DN.V1_DN"
"122","RB_DN.V1_UP"
"123","RB_P107_DN.V1_DN"
"124","RB_P107_DN.V1_UP"
"125","RB_P130_DN.V1_DN"
"126","RB_P130_DN.V1_UP"
"127","CAHOY_ASTROCYTIC"
"128","CAHOY_ASTROGLIAL"
"129","CAHOY_NEURONAL"
"130","CAHOY_OLIGODENDROCUTIC"
"131","RPS14_DN.V1_DN"
"132","RPS14_DN.V1_UP"
"133","IL15_UP.V1_DN"
"134","IL15_UP.V1_UP"
"135","IL2_UP.V1_DN"
"136","IL2_UP.V1_UP"
"137","IL21_UP.V1_DN"
"138","IL21_UP.V1_UP"
"139","PDGF_ERK_DN.V1_DN"
"140","PDGF_ERK_DN.V1_UP"
"141","PDGF_UP.V1_DN"
"142","PDGF_UP.V1_UP"
"143","TGFB_UP.V1_DN"
"144","TGFB_UP.V1_UP"
"145","YAP1_DN"
"146","YAP1_UP"
"147","SIRNA_EIF4GI_DN"
"148","SIRNA_EIF4GI_UP"
"149","HOXA9_DN.V1_DN"
"150","HOXA9_DN.V1_UP"
"151","SINGH_KRAS_DEPENDENCY_SIGNATURE_"
"152","STK33_DN"
"153","STK33_NOMO_DN"
"154","STK33_NOMO_UP"
"155","STK33_SKM_DN"
"156","STK33_SKM_UP"
"157","STK33_UP"
"158","KRAS.AMP.LUNG_UP.V1_DN"
"159","KRAS.AMP.LUNG_UP.V1_UP"
"160","KRAS.DF.V1_DN"
"161","KRAS.DF.V1_UP"
"162","TBK1.DF_DN"
"163","TBK1.DF_UP"
"164","TBK1.DN.48HRS_DN"
"165","TBK1.DN.48HRS_UP"
"166","NFE2L2.V2"
"167","CORDENONSI_YAP_CONSERVED_SIGNATURE"
"168","JAK2_DN.V1_DN"
"169","JAK2_DN.V1_UP"
"170","KRAS.300_UP.V1_DN"
"171","KRAS.300_UP.V1_UP"
"172","KRAS.50_UP.V1_DN"
"173","KRAS.50_UP.V1_UP"
"174","KRAS.600_UP.V1_DN"
"175","KRAS.600_UP.V1_UP"
"176","KRAS.600.LUNG.BREAST_UP.V1_DN"
"177","KRAS.600.LUNG.BREAST_UP.V1_UP"
"178","KRAS.BREAST_UP.V1_DN"
"179","KRAS.BREAST_UP.V1_UP"
"180","KRAS.KIDNEY_UP.V1_DN"
"181","KRAS.KIDNEY_UP.V1_UP"
"182","KRAS.LUNG_UP.V1_DN"
"183","KRAS.LUNG_UP.V1_UP"
"184","KRAS.LUNG.BREAST_UP.V1_DN"
"185","KRAS.LUNG.BREAST_UP.V1_UP"
"186","KRAS.PROSTATE_UP.V1_DN"
"187","KRAS.PROSTATE_UP.V1_UP"
"188","LEF1_UP.V1_DN"
"189","LEF1_UP.V1_UP"
