"","x"
"1","Tacc3"
"2","Tmpo"
"3","Smc4"
"4","Cdk1"
"5","Mki67"
"6","Ckap2l"
"7","Cks2"
"8","Ckap5"
"9","Cdc25c"
"10","Top2a"
"11","Cdca3"
"12","Ect2"
"13","Cks1b"
"14","Kif11"
"15","Nusap1"
"16","Ncapd2"
"17","G2e3"
"18","Gtse1"
"19","Kif2c"
"20","Cdca2"
"21","Cdc20"
"22","Rangap1"
"23","Kif20b"
"24","Ndc80"
"25","Pimreg"
"26","Nek2"
"27","Hjurp"
"28","Cdca8"
"29","Ttk"
"30","Bub1"
"31","Hmgb2"
"32","Anp32e"
"33","Cbx5"
"34","Ckap2"
"35","Cenpe"
"36","Anln"
"37","Cks1brt"
"38","Psrc1"
"39","Aurkb"
"40","Lbr"
"41","Birc5"
"42","Cenpa"
"43","Gas2l3"
"44","Cenpf"
"45","Dlgap5"
"46","Ube2c"
"47","Nuf2"
"48","Aurka"
"49","Tpx2"
"50","Hmmr"
"51","Kif23"
"52","Tubb4b"
"53","Ccnb2"
"54","Ctcf"
"55","Gmnn"
"56","Rad51"
"57","Slbp"
"58","Dscc1"
"59","Cdca7"
"60","Mcm7"
"61","Cenpu"
"62","Prim1"
"63","Pold3"
"64","Mcm4"
"65","Polr1b"
"66","Fen1"
"67","Ccne2"
"68","Rad51ap1"
"69","Rrm2"
"70","Wdr76"
"71","Usp1"
"72","Tyms"
"73","Ung"
"74","Chaf1b"
"75","Mcm6"
"76","Cdc6"
"77","Pola1"
"78","Nasp"
"79","Mrpl36"
"80","Dtl"
"81","Clspn"
"82","Rfc2"
"83","Casp8ap2"
"84","Mcm5"
"85","Hells"
"86","Exo1"
"87","Ubr7"
"88","Gins2"
"89","Blm"
"90","Pcna"
"91","E2f8"
"92","Cdc45"
"93","Uhrf1"
"94","Rrm1"
"95","Tipin"
"96","Msh2"
