"","x"
"1","Gmnn"
"2","Rad51"
"3","Slbp"
"4","Dscc1"
"5","Cdca7"
"6","Mcm7"
"7","Cenpu"
"8","Prim1"
"9","Pold3"
"10","Mcm4"
"11","Polr1b"
"12","Fen1"
"13","Ccne2"
"14","Rad51ap1"
"15","Rrm2"
"16","Wdr76"
"17","Usp1"
"18","Tyms"
"19","Ung"
"20","Chaf1b"
"21","Mcm6"
"22","Cdc6"
"23","Pola1"
"24","Nasp"
"25","Mrpl36"
"26","Dtl"
"27","Clspn"
"28","Rfc2"
"29","Casp8ap2"
"30","Mcm5"
"31","Hells"
"32","Exo1"
"33","Ubr7"
"34","Gins2"
"35","Blm"
"36","Pcna"
"37","E2f8"
"38","Cdc45"
"39","Uhrf1"
"40","Rrm1"
"41","Tipin"
"42","Msh2"
